ticker,error
17,0.05
12,0.145
2,0.267
8,0.011000000000000001
1398,0.006999999999999999
494,0.013999999999999999
1880,0.012
27,0.02
386,0.012
10,0.149
941,0.205
2318,0.042
823,0.032
1113,0.011000000000000001
1177,6.797999999999999
315,0.008
2600,0.005
1109,0.031
11,0.29
267,0.042
1299,0.08
14,0.07200000000000001
2313,0.019
282,0.027000000000000003
330,0.08800000000000001
939,0.005
23,0.07400000000000001
20,0.085
2007,0.006
83,0.022000000000000002
293,0.02
4,0.025
551,0.051
6,0.102
1997,0.0
142,0.015
1898,0.02
5,
1199,0.028999999999999998
2018,0.064
66,0.048
288,0.0
363,0.031
1088,0.035
3328,0.01
101,0.055999999999999994
2038,0.008
135,0.005
1,0.0
388,0.32899999999999996
144,0.025
688,0.0
2382,0.01
2628,0.013000000000000001
511,0.138
883,0.005
992,0.024
857,0.011000000000000001
1044,0.122
179,0.04
3,0.03
3988,0.0
669,0.036000000000000004
151,0.016
291,0.075
1038,0.237
322,0.036000000000000004
97,0.0
175,0.002
16,0.39899999999999997
836,0.08900000000000001
700,0.08800000000000001
2319,0.038
1928,0.016
13,0.29600000000000004
762,0.013000000000000001
19,0.33
1093,0.004
2388,0.021
1288,0.006999999999999999
3968,0.018000000000000002
1766,0.006
1988,0.009000000000000001
998,0.002
728,0.003
390,0.005
2601,0.016
1800,0.012
2328,0.009000000000000001
6818,0.0
1186,0.013999999999999999
2888,0.7979999999999999
805,0.013999999999999999
2202,0.006
6837,0.006999999999999999
1339,0.001
902,0.006
1776,0.0
6886,0.001
2727,0.0
1211,0.076
1336,0.02
1033,0.0
753,0.005
1972,0.027999999999999997
87,0.11900000000000001
914,0.046
1618,0.002
2799,0.0
2238,0.006999999999999999
656,0.009000000000000001
2333,0.009000000000000001
1359,0.0
670,0.0
1508,0.0
1055,0.009000000000000001
763,0.022000000000000002
966,0.019
489,0.017
2899,0.001
1099,0.036000000000000004
991,0.006999999999999999
1919,0.01
1071,0.004
1913,0.055999999999999994
2883,0.004
3333,0.0
3993,0.003
3396,0.006999999999999999
338,0.004
2196,0.008
1929,0.013000000000000001
270,0.009000000000000001
6881,0.003
392,0.069
2866,0.001
916,0.008
3799,0.0
1128,0.01
960,0.013000000000000001
3898,0.031
6808,0.0
2607,0.008
384,0.027000000000000003
2066,0.003
1958,0.002
168,0.057999999999999996
2208,0.004
2039,0.009000000000000001
358,0.027000000000000003
3969,0.001
257,0.006999999999999999
1114,0.009000000000000001
2020,0.01
177,0.01
1060,0.0
1157,0.005
241,0.0
1193,0.027000000000000003
3311,0.023
2282,0.031
2338,0.006999999999999999
2688,0.026000000000000002
3618,0.006999999999999999
813,0.046
1171,0.006999999999999999
1169,0.013999999999999999
347,0.011000000000000001
874,0.049
3606,0.0
659,0.040999999999999995
525,0.005
576,0.011000000000000001
880,0.016
3698,0.0
1528,0.002
694,0.01
1910,0.013000000000000001
683,0.12
2357,0.003
1138,0.009000000000000001
696,0.021
981,0.0
165,0.013000000000000001
586,0.003
323,0.002
220,0.021
3377,0.005
371,0.0
317,0.022000000000000002
2380,0.001
2009,0.008
1072,0.006999999999999999
316,0.154
2356,0.036000000000000004
699,0.0
2386,0.002
69,0.076
3323,0.004
3908,0.008
1829,0.006999999999999999
958,0.0
3360,0.008
2777,0.019
973,0.039
2186,0.004
867,0.011000000000000001
522,0.107
817,0.0
3888,0.016
570,0.0
1066,0.022000000000000002
2689,0.04
152,0.002
3800,0.001
665,0.002
2778,0.0
604,0.005
816,0.0
303,0.057999999999999996
1530,0.001
493,0.008
1313,0.003
552,0.008
1882,0.017
607,0.0
2314,0.004
968,0.002
1513,0.012
598,0.002
410,0.006999999999999999
995,0.003
1316,0.0
6030,0.006
636,0.006999999999999999
3866,0.003
1788,0.005
1212,0.033
6196,0.002
1918,0.036000000000000004
2128,0.0
200,0.018000000000000002
895,0.013999999999999999
1333,0.01
548,0.002
308,0.006
425,0.017
123,0.006999999999999999
1963,0.004
3383,0.01
1813,0.005
3308,0.028999999999999998
1668,0.001
3380,0.0
606,0.013000000000000001
1999,0.003
3331,0.011000000000000001
3900,0.013999999999999999
868,0.001
2098,0.001
2006,0.003
440,0.152
1812,0.005
778,0.009000000000000001
1083,0.009000000000000001
345,0.003
708,0.0
285,0.005
3918,0.006
1818,0.027000000000000003
148,0.13
590,0.019
884,0.0
1112,0.004
336,0.008
881,0.017
1728,0.004
811,0.001
1628,0.0
3669,0.005
1893,0.013999999999999999
1375,0.0
530,0.0
272,0.004
1065,0.013000000000000001
2669,0.0
506,0.027000000000000003
579,0.0
1970,0.003
1382,0.001
806,0.006
107,0.008
751,0.003
1666,0.013000000000000001
341,0.034
553,0.009000000000000001
215,0.002
1117,0.005
405,6.78
400,0.0
777,0.013999999999999999
934,0.021
2199,0.001
321,0.0
658,0.003
3983,0.008
2666,0.0
1111,0.036000000000000004
327,0.002
1883,0.0
242,0.002
1108,0.0
1448,0.001
268,0.0
1515,0.001
337,0.0
3899,0.013000000000000001
119,0.004
1293,0.0
1310,0.001
3393,0.001
1456,0.0
861,0.011000000000000001
178,0.001
546,0.001
1886,0.013000000000000001
3382,0.003
3836,0.013999999999999999
1368,0.012
2877,0.003
1347,0.001
698,0.0
2233,0.002
3788,0.0
978,0.008
1786,0.005
2331,0.017
563,0.001
3933,0.001
1381,0.0
207,0.0
2369,0.0
517,0.002
2393,0.0
354,0.0
735,0.024
1133,0.01
2005,0.005
1558,0.0
855,0.001
882,0.032
1070,0.003
819,0.004
1302,0.129
1636,0.0
1848,0.001
639,0.0
